타임스탬프,명칭,한자,위치,분류,이미지,기여자 기록용 별명 (한 번만 적어주시면 됩니다)
2024. 5. 18 오후 5:50:47,서제문,西濟門,"2312, 3706",문,동궐도,김수민
2024. 5. 18 오후 5:51:09,객용재,客容齋,"2322, 3749",건물,동궐도,김수민
2024. 5. 18 오후 5:52:32,객안재,客安齋,"2319, 3742",건물,동궐도,김수민
2024. 5. 18 오후 5:53:08,동정문,東井門,"2294, 3827",문,동궐도,김수민
2024. 5. 18 오후 5:53:43,취운정,翠雲亭,"2009, 3841",건물,동궐도,김수민
2024. 5. 18 오후 5:54:40,함일문,涵一門,"2166, 3612",문,동궐도,
2024. 5. 18 오후 5:55:04,취운문,翠雲門,"2136, 3528",문,동궐도,김수민
2024. 5. 18 오후 5:56:55,최여실,磪如室,"1989, 3525",건물,동궐도,
2024. 5. 18 오후 5:57:58,서화문,瑞和門,"1277, 3297",문,동궐도,김수민
2024. 5. 18 오후 5:58:24,봉모당,奉謨堂,"1006, 3242",건물,동궐도,
2024. 5. 18 오후 5:58:40,운한문,雲漢門,"1059, 3216",문,동궐도,
2024. 5. 27 오전 12:57:42,서암사,西岩寺,"628, 449",건물,수선전도,
2024. 6. 6 오후 2:32:35,선공감,繕工監,"1604, 561",건물,수선전도,
2024. 6. 6 오후 2:33:18,동산정,東山亭,"1590, 537",건물,수선전도,
2024. 6. 6 오후 2:35:30,경주인정,京主人井,"1601, 516",건물,수선전도,
2024. 6. 6 오후 2:35:49,서학,西學,"1645, 573",건물,수선전도,
2024. 6. 6 오후 2:36:17,여경방,餘慶坊,"1636, 530",지명,수선전도,
2024. 6. 6 오후 2:36:50,명례궁,明禮宮,"1665, 524",건물,수선전도,
2024. 6. 6 오후 2:37:38,상림원,上林苑,"1597, 437",지명,수선전도,
2024. 6. 6 오후 2:38:09,대정동,大貞洞,"1738, 528",지명,수선전도,
2024. 6. 6 오후 2:38:35,누국동,漏局洞,"1757, 567",지명,수선전도,
2024. 6. 6 오후 2:39:06,취현동,聚賢洞,"1807, 581",지명,수선전도,
2024. 6. 6 오후 2:39:37,관정동,館井洞,"1799, 526",지명,수선전도,
2024. 6. 6 오후 2:40:18,대평관,大平館,"1863, 571",건물,수선전도,
2024. 6. 6 오후 2:41:07,칠간병,七間屛,"1937, 531",미상,수선전도,
2024. 6. 6 오후 2:41:41,황화방,皇華坊,"1726, 446",지명,수선전도,
2024. 6. 6 오후 2:42:18,확교,確橋,"1769, 470",건물,수선전도,
2024. 6. 6 오후 2:42:57,선혜신창,宣惠新倉,"1847, 471",건물,수선전도,
2024. 6. 6 오후 2:43:24,양생방,養生坊,"1884, 495",지명,수선전도,
2024. 6. 6 오후 2:44:11,선무사,宣武祠,"1909, 477",건물,수선전도,
2024. 6. 6 오후 2:44:46,숭례문,崇禮門,"1983, 497",문,수선전도,
2024. 6. 6 오후 2:45:24,돈의문,敦義門,"1575, 342",문,수선전도,
2024. 6. 6 오후 2:45:57,소의문,昭義門,"1794, 409",문,수선전도,
2024. 6. 6 오후 2:47:55,우수현,牛首峴,"2120, 569",지명,수선전도,
2024. 6. 6 오후 2:48:15,남묘,南廟,"2091, 492",건물,수선전도,
2024. 6. 6 오후 2:48:40,남단,南壇,"2153, 481",건물,수선전도,
2024. 6. 6 오후 2:49:17,주교,舟橋,"2119, 421",건물,수선전도,
2024. 6. 6 오후 2:49:56,마조미동,磨造米洞,"2055, 420",지명,수선전도,
2024. 6. 6 오후 2:51:00,염초교,焰硝橋,"2004, 407",건물,수선전도,
2024. 6. 6 오후 2:51:31,남정동,藍井洞,"1968, 389",지명,수선전도,
2024. 6. 6 오후 2:52:21,경주인정동,京主人井洞,"1927, 367",지명,수선전도,
2024. 6. 6 오후 2:53:30,반석방,盤石坊,"1881, 347",지명,수선전도,
2024. 6. 6 오후 2:53:59,양동,羊洞,"2014, 499",지명,수선전도,
2024. 6. 6 오후 2:54:17,남지,南池,"2004, 471",지명,수선전도,
2024. 6. 6 오후 2:54:43,순청동,巡廳洞,"1953, 428",지명,수선전도,
2024. 6. 6 오후 2:55:28,자연암,紫烟岩,"1915, 388",지명,수선전도,
2024. 6. 6 오후 2:55:47,야동,冶洞,"1860, 393",지명,수선전도,
2024. 6. 6 오후 2:56:23,개정동,蓋井洞,"1830, 357",지명,수선전도,
2024. 6. 6 오후 2:58:23,연화봉,蓮花峰,"2114, 302",지명,수선전도,
2024. 6. 6 오후 2:58:42,대현,大峴,"2093, 269",지명,수선전도,
2024. 6. 6 오후 2:59:10,청파,靑坡,"2092, 370",지명,수선전도,
2024. 6. 6 오후 2:59:37,만리현,萬里峴,"2047, 313",지명,수선전도,
2024. 6. 6 오후 3:00:09,조전계,租田契,"1999, 297",지명,수선전도,
2024. 6. 6 오후 3:00:40,모립동,毛笠洞,"2024, 348",지명,수선전도,
2024. 6. 6 오후 3:01:05,한림동,翰林洞,"1945, 326",지명,수선전도,
2024. 6. 6 오후 3:01:21,약현,藥峴,"1930, 294",지명,수선전도,
2024. 6. 6 오후 3:01:48,합동,蛤洞,"1834, 262",지명,수선전도,
2024. 6. 6 오후 3:02:21,공덕리,孔德里,"2044, 196",지명,수선전도,
2024. 6. 6 오후 3:03:17,옹막,瓮幕,"2076, 173",지명,수선전도,
2024. 6. 6 오후 3:03:44,현석리,玄石里,"2017, 131",지명,수선전도,
2024. 6. 6 오후 3:04:05,노고산,老姑山,"1969, 157",지명,수선전도,
2024. 6. 6 오후 3:04:25,서활인서,西活人署,"1896, 178",건물,수선전도,
2024. 6. 6 오후 3:04:42,서강,西江,"1943, 111",지명,수선전도,
2024. 6. 6 오후 3:05:09,광흥창,廣興倉,"1919, 108",건물,수선전도,
2024. 6. 6 오후 3:05:29,와우산,臥牛山,"1901, 102",지명,수선전도,
2024. 6. 6 오후 3:05:48,창천,倉川,"1865, 156",지명,수선전도,
2024. 6. 6 오후 3:06:28,양화진,楊花鎭,"1838, 94",지명,수선전도,
2024. 6. 6 오후 3:06:55,망원정,望遠亭,"1782, 83",건물,수선전도,
2024. 6. 6 오후 3:07:17,성산리,城山里,"1694, 61",지명,수선전도,
2024. 6. 6 오후 3:07:59,세교리,細橋里,"1746, 115",지명,수선전도,
2024. 6. 6 오후 3:09:43,이교,圯橋,"1793, 305",건물,수선전도,
2024. 6. 6 오후 3:10:16,거동,車洞,"1754, 353",지명,수선전도,
2024. 6. 6 오후 3:10:35,신교,新橋,"1710, 321",건물,수선전도,
2024. 6. 6 오후 3:10:54,미동,尾洞,"1669, 264",지명,수선전도,
2024. 6. 6 오후 3:11:23,고마청,雇馬廳,"1634, 333",건물,수선전도,
2024. 6. 6 오후 3:11:46,경교,京橋,"1598, 315",건물,수선전도,
2024. 6. 6 오후 3:12:08,유동,鍮洞,"1613, 268",지명,수선전도,
2024. 6. 6 오후 3:12:38,팔각정,八角亭,"1591, 227",건물,수선전도,
2024. 6. 6 오후 3:13:02,필원,筆苑,"1749, 200",지명,수선전도,
2024. 6. 6 오후 3:13:51,선희묘,宣禧墓,"1693, 118",지명,수선전도,
2024. 6. 6 오후 3:14:21,의소묘,懿昭墓,"1652, 153",지명,수선전도,
2024. 6. 6 오후 3:14:43,원현,圓峴,"1586, 164",지명,수선전도,
2024. 6. 6 오후 3:15:21,기영,圻營,"1574, 289",건물,수선전도,
2024. 6. 6 오후 3:15:48,평동,平洞,"1543, 289",지명,수선전도,
2024. 6. 6 오후 3:16:09,냉동,冷洞,"1530, 244",지명,수선전도,
2024. 6. 6 오후 3:16:30,연희궁,延禧宮,"1476, 82",건물,수선전도,
2024. 6. 6 오후 3:17:04,천연정,天然亭,"1484, 226",건물,수선전도,
2024. 6. 6 오후 3:17:22,지(연못),池,"1498, 250",건물,수선전도,
2024. 6. 6 오후 4:04:52,모화관,慕華館,"1421, 249",건물,수선전도,
2024. 6. 6 오후 4:05:28,영은문,迎恩門,"1425, 279",문,수선전도,
2024. 6. 6 오후 4:05:59,소십현,小十峴,"1229, 217",지명,수선전도,
2024. 6. 6 오후 4:06:21,홍제원,弘濟院,"1209, 245",건물,수선전도,
2024. 6. 6 오후 4:06:51,답동,畓洞,"1079, 127",지명,수선전도,
2024. 6. 6 오후 4:07:14,미륵,彌勒,"1126, 219",미상,수선전도,
2024. 6. 6 오후 4:07:55,병전가,餠廛街,"1065, 185",지명,수선전도,
2024. 6. 6 오후 4:08:38,녹반현,綠礬峴,"979, 180",지명,수선전도,
2024. 6. 6 오후 4:09:17,한북문,漢北門,"940, 333",문,수선전도,
2024. 6. 6 오후 4:10:04,금선사,金仙寺,"829, 326",건물,수선전도,
2024. 6. 6 오후 4:10:43,총신영,摠新營,"875, 361",건물,수선전도,
2024. 6. 6 오후 4:11:07,조지서,造紙署,"903, 393",건물,수선전도,
2024. 6. 6 오후 4:14:52,평창,平倉,"860, 441",건물,수선전도,
2024. 6. 6 오후 4:16:08,원각사,圓覺寺,"680, 526",건물,수선전도,
2024. 6. 6 오후 4:17:25,중흥사,重興寺,"624, 712",건물,수선전도,
2024. 6. 6 오후 4:17:42,태고사,太古寺,"623, 766",건물,수선전도,
2024. 6. 6 오후 4:18:08,승성암,承成庵,"588, 829",건물,수선전도,
2024. 6. 6 오후 4:18:54,휴암,鵂岩,"839, 921",지명,수선전도,
2024. 6. 6 오후 4:19:25,화계사,花溪寺,"653, 1137",건물,수선전도,
2024. 6. 6 오후 4:19:43,정릉,貞陵,"741, 1225",지명,수선전도,
2024. 6. 6 오후 4:20:02,신흥사,新興寺,"884, 1411",건물,수선전도,
2024. 6. 6 오후 4:20:28,응봉,鷹峯,"839, 1087",지명,수선전도,
2024. 6. 6 오후 4:21:18,적유현,狄踰峴,"1001, 1598",지명,수선전도,
2024. 6. 6 오후 4:21:38,승방,僧房,"1205, 1587",건물,수선전도,
2024. 6. 6 오후 4:22:15,영미정동,永美亭洞,"1321, 1610",지명,수선전도,
2024. 6. 6 오후 4:22:41,흥인문,興仁門,"1491, 1539",문,수선전도,
2024. 6. 6 오후 4:23:02,숭신방,崇信坊,"1423, 1584",지명,수선전도,
2024. 6. 6 오후 4:28:00,수직방,守直房,"619, 1845",건물,동궐도,
2024. 6. 6 오후 4:31:05,집성문,集成門,"200, 3376",문,동궐도,
2024. 6. 6 오후 4:31:33,능허정,凌虛亭,"245, 3425",건물,동궐도,
2024. 6. 6 오후 4:32:46,사가정,四佳亭,"313, 3739",건물,동궐도,
2024. 6. 6 오후 4:34:11,수직간,守直間,"735, 3792",건물,동궐도,
2024. 6. 6 오후 4:34:34,서고,西庫,"843, 3722",건물,동궐도,
2024. 6. 6 오후 4:35:27,열고관,閱古觀,"914, 3847",건물,동궐도,
2024. 6. 6 오후 4:36:12,개유와,皆有窩,"937, 3815",건물,동궐도,
2024. 6. 6 오후 4:38:17,예필,睿筆,"489, 3755",미상,동궐도,
2024. 6. 6 오후 4:38:33,예필,"441, 3653","441, 3653",미상,동궐도,
2024. 6. 6 오후 4:39:41,산단,山壇,"417, 3856",건물,동궐도,
2024. 6. 6 오후 4:40:26,청의정,淸漪亭,"115, 4227",건물,동궐도,
2024. 6. 6 오후 4:41:05,옥류천,玉流川,"225, 4236",건물,동궐도,
2024. 6. 6 오후 4:41:58,취규정,聚奎亭,"365, 4251",건물,동궐도,
2024. 6. 6 오후 4:42:32,취한정,翠寒亭,"314, 4402",건물,동궐도,
2024. 6. 6 오후 4:43:15,소요정,逍遙亭,"225, 4299",건물,동궐도,
2024. 6. 6 오후 4:43:43,농산정,籠山亭,"204, 4407",건물,동궐도,
2024. 6. 6 오후 4:44:09,태극정,太極亭,"133, 4331",건물,동궐도,
2024. 6. 6 오후 4:44:44,건무문,建武門,"22, 4628",문,동궐도,
2024. 6. 6 오후 4:47:23,애련정,愛蓮亭,"559, 4843",건물,동궐도,
2024. 6. 6 오후 4:48:17,금마문,金馬門,"653, 4839",문,동궐도,
2024. 6. 6 오후 4:50:04,운림거,韻𥓙居,"681, 4713",건물,동궐도,
2024. 6. 6 오후 4:52:49,당(연못),塘,"713, 4935",미상,동궐도,
2024. 6. 6 오후 4:54:50,불운문,拂雲門,"681, 4665",문,동궐도,
2024. 6. 6 오후 4:59:03,운회헌,雲繪軒,"627, 4109",건물,동궐도,
2024. 6. 6 오후 5:00:16,축화관,祝華觀,"597, 4077",건물,동궐도,
2024. 6. 6 오후 5:00:45,장락문,長樂門,"635, 4001",문,동궐도,
2024. 6. 6 오후 5:01:20,희우정,喜雨亭,"666, 4197",건물,동궐도,
2024. 6. 6 오후 5:01:44,희우문,喜雨門,"669, 4172",문,동궐도,
2024. 6. 6 오후 5:02:15,서성문,西成門,"729, 4091",문,동궐도,
2024. 6. 6 오후 5:02:41,정(우물),井,"776, 4153",미상,동궐도,
2024. 6. 6 오후 5:03:15,비각,碑閣,"811, 4104",건물,동궐도,
2024. 6. 6 오후 5:05:04,공신문,拱宸門,"716, 3903",문,동궐도,
2024. 6. 6 오후 5:06:33,국출신번소,局出身番所,"677, 3304",건물,동궐도,
2024. 6. 6 오후 5:07:06,국별장직소,局別將直所,"696, 3431",건물,동궐도,
2024. 6. 6 오후 5:07:36,국출신번소,局出身番所,"760, 3339",건물,동궐도,
2024. 6. 6 오후 5:08:08,영숙문,永肅門,"803, 3389",문,동궐도,
2024. 6. 6 오후 5:10:28,위장직소,衛將直所,"801, 2720",건물,동궐도,
2024. 6. 6 오후 5:13:57,측간,厠間,"1119, 1607",건물,동궐도,
2024. 6. 6 오후 5:18:23,선원전,璿源殿,"1753, 1310",건물,동궐도,
2024. 6. 6 오후 5:27:23,수정전,壽靜殿,"1122, 2713",건물,동궐도,
2024. 6. 6 오후 5:28:36,취미문,翠微門,"1185, 3418",문,동궐도,
2024. 6. 6 오후 5:29:46,화악문,花萼門,"1249, 3341",문,동궐도,
2024. 6. 6 오후 5:30:18,취화문,翠華門,"1285, 3333",문,동궐도,
2024. 6. 6 오후 5:31:31,방화문,訪花門,"1157, 3622",문,동궐도,
2024. 6. 6 오후 5:32:17,환취정,環翠亭,"1209, 3821",건물,동궐도,
2024. 6. 6 오후 5:34:37,병경문,炳景門,"1176, 3705",문,동궐도,
2024. 6. 6 오후 5:35:32,정(우물),井,"1479, 3781",미상,동궐도,
2024. 6. 6 오후 5:35:49,당(연못),塘,"1547, 3741",미상,동궐도,
2024. 6. 6 오후 5:36:16,정(우물),井,"1753, 3865",미상,동궐도,
2024. 6. 6 오후 5:36:51,길상문,吉祥門,"1898, 3656",문,동궐도,
2024. 6. 6 오후 5:37:21,염고,塩庫,"1793, 3518",건물,동궐도,
2024. 6. 6 오후 5:37:48,염고,塩庫,"1669, 3511",건물,동궐도,
2024. 6. 6 오후 5:38:26,함원문,含元門,"1851, 3449",문,동궐도,
2024. 6. 6 오후 5:39:06,주작문,朱雀門,"1741, 3304",문,동궐도,
2024. 6. 6 오후 5:39:43,여화문,麗華門,"1839, 3251",문,동궐도,
2024. 6. 6 오후 5:40:30,저방실,貯芳室,"1859, 3183",건물,동궐도,
2024. 6. 6 오후 5:41:06,매요,每要,"1903, 3133",건물,동궐도,
2024. 6. 6 오후 5:41:18,매요,"1867, 3106","1867, 3106",건물,동궐도,
2024. 6. 6 오후 5:41:44,건인문,建仁門,"1799, 3172",문,동궐도,
2024. 6. 6 오후 5:42:16,영안문,迎雁門,"1727, 3186",문,동궐도,
2024. 6. 6 오후 5:42:50,교자방,轎子房,"1659, 3113",건물,동궐도,
2024. 6. 6 오후 5:43:30,고간(곳간),庫間,"1464, 3115",건물,동궐도,
2024. 6. 6 오후 5:44:34,유덕당,維德堂,"1863, 3017",건물,동궐도,
2024. 6. 6 오후 5:45:04,봉래문,蓬萊門,"1834, 2959",문,동궐도,
2024. 6. 6 오후 5:46:53,죽엽루,竹葉樓,"1830, 2886",건물,동궐도,
2024. 6. 6 오후 5:47:41,망춘문,望春門,"1729, 2865",문,동궐도,
2024. 6. 6 오후 5:48:38,응경문,凝慶門,"1701, 2915",문,동궐도,
2024. 6. 7 오후 4:17:59,집의문,集義門,"1761, 4175",문,동궐도,
2024. 6. 7 오후 4:19:19,풍순헌,風淳軒,"1904, 4002",건물,동궐도,
2024. 6. 7 오후 4:20:06,집★문,集★門,"1893, 4029",문,동궐도,
2024. 6. 7 오후 4:20:42,거인문,居仁門,"1901, 4046",문,동궐도,
2024. 6. 7 오후 4:22:16,소주방,燒廚房,"1605, 4198",건물,동궐도,
2024. 6. 7 오후 4:23:38,체원합,體元閤,"1504, 4271",건물,동궐도,
2024. 6. 7 오후 4:24:26,정(우물),井,"1435, 4320",미상,동궐도,
2024. 6. 7 오후 4:24:48,정(우물),井,"1505, 4319",미상,동궐도,
2024. 6. 7 오후 4:25:34,조★문,朝★門,"1493, 4383",문,동궐도,
2024. 6. 7 오후 4:26:01,연희당,延禧堂,"1501, 4428",건물,동궐도,
2024. 6. 7 오후 4:26:29,수라간,水刺間,"1592, 4331",건물,동궐도,
2024. 6. 7 오후 4:27:02,연춘헌,延春軒,"1563, 4550",건물,동궐도,
2024. 6. 7 오후 4:27:28,만춘문,萬春門,"1602, 4517",문,동궐도,
2024. 6. 7 오후 4:28:05,경선문,慶善門,"1606, 4582",문,동궐도,
2024. 6. 7 오후 4:28:38,정(우물),井,"1654, 4373",미상,동궐도,
2024. 6. 7 오후 4:29:29,환경전,歡慶殿,"1700, 4314",건물,동궐도,
2024. 6. 7 오후 4:29:57,영상문,永祥門,"1774, 4387",문,동궐도,
2024. 6. 7 오후 4:30:35,소주방,燒廚房,"1818, 4358",건물,동궐도,
2024. 6. 7 오후 4:31:04,개광문,開廣門,"1822, 4300",문,동궐도,
2024. 6. 7 오후 4:31:49,수라간,水刺間,"1870, 4320",건물,동궐도,
2024. 6. 7 오후 4:32:18,함안합,咸安閤,"1885, 4300",건물,동궐도,
2024. 6. 7 오후 4:32:54,진덕문,進德門,"1858, 4524",문,동궐도,
2024. 6. 7 오후 4:33:19,홍교문,弘敎門,"1875, 4560",문,동궐도,
2024. 6. 7 오후 4:34:22,관광청,觀光廳,"1905, 4522",건물,동궐도,
2024. 6. 7 오후 4:37:29,자경전,慈慶殿,"1101, 4179",건물,동궐도,
2024. 6. 7 오후 4:38:00,실경문,實慶門,"1175, 4041",문,동궐도,
2024. 6. 7 오후 4:38:23,흥경문,興慶門,"1170, 4003",문,동궐도,
2024. 6. 7 오후 4:38:51,자경문,慈慶門,"1242, 4078",문,동궐도,
2024. 6. 7 오후 4:39:18,납청문,納淸門,"1326, 4084",문,동궐도,
2024. 6. 7 오후 4:39:46,열천,冽泉,"1381, 3907",미상,동궐도,
2024. 6. 7 오후 4:40:04,정(우물),井,"1398, 3901",미상,동궐도,
2024. 6. 7 오후 4:40:39,적경문,積慶門,"1035, 4253",문,동궐도,
2024. 6. 7 오후 4:41:31,광선문,光善門,"947, 4388",문,동궐도,
2024. 6. 7 오후 4:42:49,영화문,暎花門,"941, 4487",문,동궐도,
2024. 6. 7 오후 4:43:19,육경문,毓慶門,"1237, 4335",문,동궐도,
2024. 6. 7 오후 4:44:11,염고,塩庫,"1185, 4649",건물,동궐도,
2024. 6. 7 오후 4:44:55,양화당,養和堂,"1348, 4423",건물,동궐도,
2024. 6. 7 오후 4:45:35,★천문,★天門,"1378, 4658",문,동궐도,
2024. 6. 7 오후 4:46:44,건례당,建禮堂,"1060, 5038",건물,동궐도,
2024. 6. 7 오후 4:47:15,연화문,延和門,"1288, 5003",문,동궐도,
2024. 6. 7 오후 4:48:26,용부문,用敷門,"1484, 4766",문,동궐도,
2024. 6. 7 오후 4:48:55,영춘헌,迎春軒,"1508, 4902",건물,동궐도,
2024. 6. 7 오후 4:49:22,장경문,長慶門,"1457, 4941",문,동궐도,
2024. 6. 7 오후 4:49:47,천오문,千五門,"1607, 4923",문,동궐도,
2024. 6. 7 오후 4:50:49,교태문,交泰門,"1798, 4832",문,동궐도,
2024. 6. 7 오후 4:51:34,가응문,嘉應門,"1809, 4752",문,동궐도,
2024. 6. 7 오후 4:52:10,일화문,日華門,"1803, 4682",문,동궐도,
2024. 6. 7 오후 4:52:44,영청문,永淸門,"1866, 4824",문,동궐도,
2024. 6. 7 오후 4:53:14,연생문,延生門,"1821, 5035",문,동궐도,
2024. 6. 7 오후 4:54:26,숭지문,崇智門,"1859, 5054",문,동궐도,
2024. 6. 7 오후 4:54:50,광덕문,光德門,"1859, 5223",문,동궐도,
2024. 6. 7 오후 4:55:27,보정문,保定門,"1718, 5120",문,동궐도,
2024. 6. 7 오후 4:56:11,만팔문,萬八門,"1660, 5055",문,동궐도,
2024. 6. 7 오후 4:56:48,통덕문,通德門,"1490, 5373",문,동궐도,
2024. 6. 7 오후 4:57:14,연희문,延喜門,"1504, 5306",문,동궐도,
2024. 6. 7 오후 4:57:42,통화문,通和門,"1464, 5255",문,동궐도,
2024. 6. 7 오후 4:59:44,태안문,泰安門,"1487, 5170",문,동궐도,
2024. 6. 7 오후 5:01:10,수문장청,守門將廳,"1538, 5599",건물,동궐도,
2024. 6. 7 오후 5:01:37,통화문,通化門,"1514, 5619",문,동궐도,
2024. 6. 7 오후 5:02:03,선명문,宣明門,"1471, 5620",문,동궐도,
2024. 6. 7 오후 5:02:24,명광문,明光門,"1472, 5515",문,동궐도,
2024. 6. 7 오후 5:03:38,요화당,瑤華堂,"1267, 5202",건물,동궐도,
2024. 6. 7 오후 5:04:01,만보문,萬寶門,"1340, 5224",문,동궐도,
2024. 6. 7 오후 5:04:36,계월합,桂月閤,"1247, 5257",건물,동궐도,
2024. 6. 7 오후 5:05:17,영강문,永康門,"1125, 5418",문,동궐도,
2024. 6. 7 오후 5:06:34,고수원,古修院,"1069, 5292",건물,동궐도,
2024. 6. 7 오후 5:07:37,해온루,解慍樓,"1074, 5449",건물,동궐도,
2024. 6. 7 오후 5:08:02,관풍각,觀風閣,"1015, 5666",건물,동궐도,
2024. 6. 7 오후 5:08:33,수궁,守宮,"1153, 5783",건물,동궐도,
2024. 6. 7 오후 5:08:56,정(우물),井,"1158, 5494",미상,동궐도,
2024. 6. 7 오후 5:09:25,★오관,★五觀,"1226, 5462",건물,동궐도,
2024. 6. 7 오후 5:09:46,화초고,花草庫,"1247, 5515",건물,동궐도,
2024. 6. 7 오후 5:11:58,화청관,華淸觀,"2020, 3396",건물,동궐도,
2024. 6. 7 오후 5:12:27,보상문,寶相門,"2041, 3460",문,동궐도,
2024. 6. 7 오후 5:13:42,사금곽,寫琴廓,"1914, 3391",건물,동궐도,
2024. 6. 7 오후 5:15:23,태형문,泰亨門,"2445, 3721",문,동궐도,
2024. 6. 7 오후 5:16:10,집현문,集賢門,"2510, 3818",문,동궐도,
2024. 6. 7 오후 5:18:23,중광문,重光門,"2526, 2959",문,동궐도,
2024. 6. 7 오후 5:26:53,경훈각,景薰閣,"1481, 2625",건물,동궐도,
2024. 6. 7 오후 5:30:18,어필자선재,御筆資善齋,"1775, 3073",건물,동궐도,
2024. 6. 7 오후 5:33:34,연영합,延英閤,"1922, 3457",건물,동궐도,
2024. 6. 7 오후 5:34:30,천지장남지궁,天地長男之宮,"1921, 3549",건물,동궐도,
2024. 6. 7 오후 5:35:28,삼삼와,弎弎窩,"1999, 3072",건물,동궐도,
2024. 6. 7 오후 5:36:39,학몽합,鶴夢閤,"1919, 3478",건물,동궐도,
2024. 6. 7 오후 5:37:07,오운루,五雲樓,"1940, 3429",건물,동궐도,
2024. 6. 7 오후 5:38:10,수방재,漱芳齋,"1900, 3348",건물,동궐도,
2024. 6. 7 오후 5:39:22,문화각,文華閣,"1905, 3290",건물,동궐도,
2024. 6. 7 오후 5:42:25,문정전,文政殿,"2067, 4283",건물,동궐도,
2024. 6. 7 오후 5:52:34,조사간,曹司間,"1987, 1939",건물,동궐도,
2024. 6. 7 오후 5:52:58,선전관청,宣傳官廳,"1991, 1962",건물,동궐도,
2024. 6. 7 오후 6:10:19,춘당대(터),春塘臺,"811, 4889",건물,동궐도,
2024. 6. 7 오후 6:10:55,영화당,暎花堂,"805, 4635",건물,동궐도,
2024. 6. 7 오후 9:34:24,동학,東學,"1490, 1476",건물,수선전도,
2024. 6. 14 오후 4:14:48,어수당,魚水堂,"554, 4671",건물,동궐도,
